id,element_group,element,orientation,x_start,y_start,z_start,x_end,y_end,z_end,weight
204,10,2,2,900,145.5,300,912,145.5,300,0
205,10,2,2,1200,145.5,300,1212,145.5,300,0
206,10,2,2,288,145.5,300,300,145.5,300,0
207,10,2,2,588,145.5,300,600,145.5,300,0
208,10,2,2,888,145.5,300,900,145.5,300,0
209,10,2,2,1188,145.5,300,1200,145.5,300,0
210,10,2,2,1488,145.5,300,1500,145.5,300,0
211,10,6,1,0,0,600,0,129,600,0
212,10,6,1,300,0,600,300,129,600,0
213,10,6,1,600,0,600,600,129,600,0
214,10,6,1,900,0,600,900,129,600,0
215,10,6,1,1200,0,600,1200,129,600,0
216,10,6,1,1500,0,600,1500,129,600,0
217,10,2,1,0,129,600,0,145.5,600,0
218,10,2,1,300,129,600,300,145.5,600,0
219,10,2,1,600,129,600,600,145.5,600,0
220,10,2,1,900,129,600,900,145.5,600,0
221,10,2,1,1200,129,600,1200,145.5,600,0
222,10,2,1,1500,129,600,1500,145.5,600,0
223,10,2,1,0,145.5,600,0,162,600,0
224,10,2,1,300,145.5,600,300,162,600,0
225,10,2,1,600,145.5,600,600,162,600,0
226,10,2,1,900,145.5,600,900,162,600,0
227,10,2,1,1200,145.5,600,1200,162,600,0
228,10,2,1,1500,145.5,600,1500,162,600,0
229,10,9,2,12,145.5,600,288,145.5,600,116.25
230,10,9,2,312,145.5,600,588,145.5,600,116.25
231,10,9,2,612,145.5,600,888,145.5,600,116.25
232,10,9,2,912,145.5,600,1188,145.5,600,116.25
233,10,9,2,1212,145.5,600,1488,145.5,600,116.25
234,10,2,2,0,145.5,600,12,145.5,600,0
235,10,2,2,300,145.5,600,312,145.5,600,0
236,10,2,2,600,145.5,600,612,145.5,600,0
237,10,2,2,900,145.5,600,912,145.5,600,0
238,10,2,2,1200,145.5,600,1212,145.5,600,0
239,10,2,2,288,145.5,600,300,145.5,600,0
240,10,2,2,588,145.5,600,600,145.5,600,0
241,10,2,2,888,145.5,600,900,145.5,600,0
242,10,2,2,1188,145.5,600,1200,145.5,600,0
243,10,2,2,1488,145.5,600,1500,145.5,600,0
244,10,7,1,0,0,900,0,105,900,0
245,10,7,1,300,0,900,300,105,900,0
246,10,7,1,600,0,900,600,105,900,0
247,10,7,1,900,0,900,900,105,900,0
248,10,7,1,1200,0,900,1200,105,900,0
249,10,7,1,1500,0,900,1500,105,900,0
250,10,2,1,0,105,900,0,133.5,900,0
251,10,2,1,300,105,900,300,133.5,900,0
252,10,2,1,600,105,900,600,133.5,900,0
253,10,2,1,900,105,900,900,133.5,900,0
254,10,2,1,1200,105,900,1200,133.5,900,0
255,10,2,1,1500,105,900,1500,133.5,900,0
256,10,2,1,0,133.5,900,0,162,900,0
257,10,2,1,300,133.5,900,300,162,900,0
258,10,2,1,600,133.5,900,600,162,900,0
259,10,2,1,900,133.5,900,900,162,900,0
260,10,2,1,1200,133.5,900,1200,162,900,0
261,10,2,1,1500,133.5,900,1500,162,900,0
262,10,10,2,9,133.5,900,291,133.5,900,116.25
263,10,10,2,309,133.5,900,597,133.5,900,116.25
264,10,10,2,609,133.5,900,891,133.5,900,116.25
265,10,10,2,909,133.5,900,1191,133.5,900,116.25
266,10,10,2,1209,133.5,900,1491,133.5,900,116.25
267,10,2,2,0,133.5,900,9,133.5,900,0
268,10,2,2,300,133.5,900,309,133.5,900,0
269,10,2,2,600,133.5,900,609,133.5,900,0
270,10,2,2,900,133.5,900,909,133.5,900,0
271,10,2,2,1200,133.5,900,1209,133.5,900,0
272,10,2,2,291,133.5,900,300,133.5,900,0
273,10,2,2,597,133.5,900,600,133.5,900,0
274,10,2,2,891,133.5,900,900,133.5,900,0
275,10,2,2,1191,133.5,900,1200,133.5,900,0
276,10,2,2,1491,133.5,900,1500,133.5,900,0
277,10,16,1,-67.5,0,0,-67.5,162,0,0
278,10,16,1,-67.5,0,300,-67.5,162,300,0
279,10,16,1,-67.5,0,600,-67.5,162,600,0
280,10,16,1,-67.5,0,900,-67.5,162,900,0
281,10,16,1,1567.5,0,0,1567.5,162,0,0
282,10,16,1,1567.5,0,300,1567.5,162,300,0
283,10,16,1,1567.5,0,600,1567.5,162,600,0
284,10,16,1,1567.5,0,900,1567.5,162,900,0
285,10,2,1,-67.5,162,0,0,162,0,0
286,10,2,1,-67.5,162,300,0,162,300,0
287,10,2,1,-67.5,162,600,0,162,600,0
288,10,2,1,-67.5,162,900,0,162,900,0
289,10,2,1,1500,162,0,1567.5,162,0,0
290,10,2,1,1500,162,300,1567.5,162,300,0
291,10,2,1,1500,162,600,1567.5,162,600,0
292,10,2,1,1500,162,900,1567.5,162,900,0
293,11,7,1,0,0,0,0,105,0,0
294,11,7,1,300,0,0,300,105,0,0
295,11,7,1,600,0,0,600,105,0,0
296,11,7,1,900,0,0,900,105,0,0
297,11,7,1,1200,0,0,1200,105,0,0
298,11,7,1,1500,0,0,1500,105,0,0
299,11,2,1,0,105,0,0,162,0,0
300,11,2,1,300,105,0,300,162,0,0
301,11,2,1,600,105,0,600,162,0,0
302,11,2,1,900,105,0,900,162,0,0
303,11,2,1,1200,105,0,1200,162,0,0
304,11,2,1,1500,105,0,1500,162,0,0
305,11,10,2,9,162,0,291,162,0,116.25
306,11,10,2,309,162,0,597,162,0,116.25
307,11,10,2,609,162,0,891,162,0,116.25
308,11,10,2,909,162,0,1191,162,0,116.25
309,11,10,2,1209,162,0,1491,162,0,116.25
310,11,2,2,0,162,0,9,162,0,0
311,11,2,2,300,162,0,309,162,0,0
312,11,2,2,600,162,0,609,162,0,0
313,11,2,2,900,162,0,909,162,0,0
314,11,2,2,1200,162,0,1209,162,0,0
315,11,2,2,291,162,0,300,162,0,0
316,11,2,2,597,162,0,600,162,0,0
317,11,2,2,891,162,0,900,162,0,0
318,11,2,2,1191,162,0,1200,162,0,0
319,11,2,2,1491,162,0,1500,162,0,0
320,11,6,1,0,0,300,0,129,300,0
321,11,6,1,300,0,300,300,129,300,0
322,11,6,1,600,0,300,600,129,300,0
323,11,6,1,900,0,300,900,129,300,0
324,11,6,1,1200,0,300,1200,129,300,0
325,11,6,1,1500,0,300,1500,129,300,0
326,11,2,1,0,129,300,0,162,300,0
327,11,2,1,300,129,300,300,162,300,0
328,11,2,1,600,129,300,600,162,300,0
329,11,2,1,900,129,300,900,162,300,0
330,11,2,1,1200,129,300,1200,162,300,0
331,11,2,1,1500,129,300,1500,162,300,0
332,11,9,2,12,162,300,288,162,300,116.25
333,11,9,2,312,162,300,588,162,300,116.25
334,11,9,2,612,162,300,888,162,300,116.25
335,11,9,2,912,162,300,1188,162,300,116.25
336,11,9,2,1212,162,300,1488,162,300,116.25
337,11,2,2,0,162,300,12,162,300,0
338,11,2,2,300,162,300,312,162,300,0
339,11,2,2,600,162,300,612,162,300,0
340,11,2,2,900,162,300,912,162,300,0
341,11,2,2,1200,162,300,1212,162,300,0
342,11,2,2,288,162,300,300,162,300,0
343,11,2,2,588,162,300,600,162,300,0
344,11,2,2,888,162,300,900,162,300,0
345,11,2,2,1188,162,300,1200,162,300,0
346,11,2,2,1488,162,300,1500,162,300,0
347,11,6,1,0,0,600,0,129,600,0
348,11,6,1,300,0,600,300,129,600,0
349,11,6,1,600,0,600,600,129,600,0
350,11,6,1,900,0,600,900,129,600,0
351,11,6,1,1200,0,600,1200,129,600,0
352,11,6,1,1500,0,600,1500,129,600,0
353,11,2,1,0,129,600,0,162,600,0
354,11,2,1,300,129,600,300,162,600,0
355,11,2,1,600,129,600,600,162,600,0
356,11,2,1,900,129,600,900,162,600,0
357,11,2,1,1200,129,600,1200,162,600,0
358,11,2,1,1500,129,600,1500,162,600,0
359,11,9,2,12,162,600,288,162,600,116.25
360,11,9,2,312,162,600,588,162,600,116.25
361,11,9,2,612,162,600,888,162,600,116.25
