id,x,y,z,dead_load,live_load,mass,record_disp,record_accel,story,primary_story,on_slab,fix
6235,1559,159,600,0,0,0,0,0,0,0,0,[000000]
6236,71,144,900,0,0,0,0,0,0,0,0,[000000]
6237,83,159,900,0,0,0,0,0,0,0,0,[000000]
6238,371,144,900,0,0,0,0,0,0,0,0,[000000]
6239,359,159,900,0,0,0,0,0,0,0,0,[000000]
6240,383,159,900,0,0,0,0,0,0,0,0,[000000]
6241,671,144,900,0,0,0,0,0,0,0,0,[000000]
6242,659,159,900,0,0,0,0,0,0,0,0,[000000]
6243,683,159,900,0,0,0,0,0,0,0,0,[000000]
6244,971,144,900,0,0,0,0,0,0,0,0,[000000]
6245,959,159,900,0,0,0,0,0,0,0,0,[000000]
6246,983,159,900,0,0,0,0,0,0,0,0,[000000]
6247,1271,144,900,0,0,0,0,0,0,0,0,[000000]
6248,1259,159,900,0,0,0,0,0,0,0,0,[000000]
6249,1283,159,900,0,0,0,0,0,0,0,0,[000000]
6250,1571,144,900,0,0,0,0,0,0,0,0,[000000]
6251,1559,159,900,0,0,0,0,0,0,0,0,[000000]
6252,71,282,0,0,0,0,0,0,0,0,0,[000000]
6253,80,309,0,0,0,0,0,0,0,0,0,[000000]
6254,371,282,0,0,0,0,0,0,0,0,0,[000000]
6255,362,309,0,0,0,0,0,0,0,0,0,[000000]
6256,380,309,0,0,0,0,0,0,0,0,0,[000000]
6257,671,282,0,0,0,0,0,0,0,0,0,[000000]
6258,662,309,0,0,0,0,0,0,0,0,0,[000000]
6259,680,309,0,0,0,0,0,0,0,0,0,[000000]
6260,971,282,0,0,0,0,0,0,0,0,0,[000000]
6261,962,309,0,0,0,0,0,0,0,0,0,[000000]
6262,980,309,0,0,0,0,0,0,0,0,0,[000000]
6263,1271,282,0,0,0,0,0,0,0,0,0,[000000]
6264,1262,309,0,0,0,0,0,0,0,0,0,[000000]
6265,1280,309,0,0,0,0,0,0,0,0,0,[000000]
6266,1571,282,0,0,0,0,0,0,0,0,0,[000000]
6267,1562,309,0,0,0,0,0,0,0,0,0,[000000]
6268,71,306,300,0,0,0,0,0,0,0,0,[000000]
6269,83,321,300,0,0,0,0,0,0,0,0,[000000]
6270,371,306,300,0,0,0,0,0,0,0,0,[000000]
6271,359,321,300,0,0,0,0,0,0,0,0,[000000]
6272,383,321,300,0,0,0,0,0,0,0,0,[000000]
6273,671,306,300,0,0,0,0,0,0,0,0,[000000]
6274,659,321,300,0,0,0,0,0,0,0,0,[000000]
6275,683,321,300,0,0,0,0,0,0,0,0,[000000]
6276,971,306,300,0,0,0,0,0,0,0,0,[000000]
6277,959,321,300,0,0,0,0,0,0,0,0,[000000]
6278,983,321,300,0,0,0,0,0,0,0,0,[000000]
6279,1271,306,300,0,0,0,0,0,0,0,0,[000000]
